P_NAME,P_PERIOD,S_NAME,S_DEC,S_MAG,S_MASS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_LUMINOSITY,P_TYPE_TEMP,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-859 b,20.381776,Kepler-859,43.190108,15.887,0.81,5020.0,0.136092,18.214607,526.31998,Neptunian,0.77,K,0.3373533,Hot,0,0.27052542,3.09396,9.7696781,0.136092
Kepler-860 b,5.1013794,Kepler-860,46.254742,15.455,1.04,5836.0,0.058746106,338.37895,1092.6869,Neptunian,1.06,G,1.1677813,Hot,0,0.20397397,3.23969,10.563725,0.058746106
Kepler-861 b,3.9496314,Kepler-861,46.22628,15.623,0.82,5047.0,0.045759915,168.90428,918.44906,Superterran,0.78,K,0.35368046,Hot,0,0.24891681,2.27563,5.7992597,0.045759915
Kepler-862 b,3.1486645,Kepler-862,46.492741,15.297,0.88,5333.0,0.040279868,315.17915,1073.4561,Superterran,0.84,G,0.51136801,Hot,0,0.24858818,2.20837,5.5112567,0.040279868
Kepler-863 b,15.594619,Kepler-863,43.248962,15.43,0.96,5678.0,0.12048042,57.900784,702.77454,Neptunian,0.95,G,0.8404607,Hot,0,0.23481371,2.90339,8.7701168,0.12048042
Kepler-864 b,5.8337609,Kepler-864,46.320675,15.776,1.0,5754.0,0.063407696,244.27787,1007.2005,Superterran,1.0,G,0.98212796,Hot,0,0.24067216,2.39894,6.3428164,0.063407696
Kepler-865 b,14.163993,Kepler-865,43.527435,14.48,0.93,5570.0,0.11180495,58.393305,704.2643,Superterran,0.92,G,0.7299365,Hot,0,0.25305106,2.48862,6.7506189,0.11180495
Kepler-866 b,2.6170325,Kepler-866,43.08556,15.835,0.75,4751.0,0.033760022,201.90173,960.35083,Superterran,0.71,K,0.23011528,Hot,0,0.2798838,1.62545,3.2754986,0.033760022
Kepler-867 b,150.24213,Kepler-867,51.249981,14.827,0.92,5541.0,0.53781553,2.4180059,317.69417,Neptunian,0.91,G,0.69939743,Hot,0,0.45745216,4.64094,19.446737,0.53781553
Kepler-868 b,5.0325179,Kepler-868,46.67524,15.695,0.93,5614.0,0.056086812,224.09738,985.72122,Superterran,0.89,G,0.70494996,Hot,0,0.25803065,2.05143,4.8629026,0.056086812
Kepler-869 b,40.428776,Kepler-869,50.994122,14.982,0.97,5664.0,0.22815354,15.987274,509.43469,Neptunian,0.95,G,0.83220215,Hot,0,0.25875497,3.60962,12.69235,0.22815354
Kepler-87 c,191.2318,Kepler-87,46.96513,14.6,1.1,5600.0,0.6765141,6.3917631,404.97305,Jovian,1.82,G,2.9186602,Hot,0,0.27526606,6.14308,6.3565601,0.676
Kepler-870 b,21.358762,Kepler-870,50.478634,15.259,1.01,5857.0,0.15112422,48.031012,670.69542,Neptunian,1.02,G,1.0969577,Hot,0,0.24440763,2.78008,8.1471405,0.15112422
Kepler-871 b,22.045902,Kepler-871,43.36816,15.689,1.11,5993.0,0.15928289,59.20211,706.69042,Neptunian,1.14,G,1.5020191,Hot,0,0.20336995,3.74414,13.505821,0.15928289
Kepler-872 b,2.5788551,Kepler-872,43.60564,15.106,1.05,5902.0,0.037398766,906.60568,1397.9754,Superterran,1.08,G,1.2680401,Hot,0,0.25635214,1.99538,4.6394796,0.037398766
Kepler-873 b,20.553384,Kepler-873,51.271339,14.829,1.18,6163.0,0.15514072,86.618999,777.22757,Neptunian,1.27,F,2.0848017,Hot,0,0.19669509,3.75535,13.574546,0.15514072
Kepler-874 b,40.068673,Kepler-874,43.014328,14.683,1.09,6020.0,0.23578801,27.026393,580.88736,Neptunian,1.13,F,1.5025589,Hot,0,0.21989088,3.94592,14.764686,0.23578801
Kepler-875 b,27.50738,Kepler-875,43.141888,15.219,1.06,5958.0,0.18179322,42.090225,648.9186,Neptunian,1.11,G,1.3910303,Hot,0,0.24266792,2.90339,8.7701168,0.18179322
Kepler-876 b,5.1443801,Kepler-876,43.383781,15.369,0.81,5060.0,0.054353385,117.87426,839.45932,Terran,0.77,K,0.3482348,Hot,0,0.29341189,1.43488,2.6505029,0.054353385
Kepler-877 b,18.458471,Kepler-877,46.522667,14.516,0.85,5261.0,0.12945327,26.872362,580.05793,Superterran,0.81,K,0.45033105,Hot,0,0.29632861,2.11869,5.1366839,0.12945327
Kepler-878 b,25.942203,Kepler-878,46.603439,14.817,0.81,5044.0,0.15983645,13.459186,487.97728,Superterran,0.77,K,0.34385109,Hot,0,0.35078494,1.92812,4.3771005,0.15983645
Kepler-879 b,33.385594,Kepler-879,50.909798,14.264,1.02,5792.0,0.20421252,25.15582,570.56421,Neptunian,1.02,G,1.0490669,Hot,0,0.27684086,2.56709,7.1159697,0.20421252
Kepler-880 b,7.7146897,Kepler-880,43.672771,12.082,1.46,6761.0,0.086664151,754.66101,1335.3124,Neptunian,1.74,F,5.6680136,Hot,0,0.22540807,2.65677,7.5431552,0.086664151
Kepler-881 b,4.4444802,Kepler-881,46.670753,15.216,1.06,5961.0,0.053929388,462.13318,1181.2361,Superterran,1.09,G,1.3440584,Hot,0,0.26840873,1.78239,3.8303511,0.053929388
Kepler-882 b,3.9895397,Kepler-882,43.335587,14.083,0.9,5476.0,0.047519542,270.04517,1032.771,Terran,0.87,G,0.60979086,Hot,0,0.29424057,1.2331,2.0491991,0.047519542
Kepler-883 b,12.984956,Kepler-883,50.300327,13.029,1.06,6116.0,0.11021444,122.61244,847.77098,Superterran,1.09,F,1.4894007,Hot,0,0.27647656,1.78239,3.8303511,0.11021444
Kepler-884 b,5.6991951,Kepler-884,49.923161,13.069,1.0,5715.0,0.062428836,216.68997,977.47265,Terran,0.94,G,0.84451874,Hot,0,0.29551237,1.2331,2.0491991,0.062428836
Kepler-885 b,18.114729,Kepler-885,49.737206,12.841,1.21,6187.0,0.14381116,115.68884,835.54102,Superterran,1.35,F,2.3926361,Hot,0,0.24182317,2.49983,6.8023267,0.14381116
